Information and diagnostics 
=========================== 
Total iter:                       50951 
Burn-in:                          1000 
Thin:                             50 
Num chains:                       4 
Max Rhat:                         2.82 
Min n.eff:                        51 
Data version:                     1.0 


Model summary 
============= 
               mean    sd    2.5%    50%  97.5% Rhat n.eff
tori.abund   -0.305 0.852  -1.530 -0.541  1.538 2.82  1218
moon.abund    1.426 0.676   0.020  1.498  2.595 1.92   814
night.abund  -2.015 0.874  -3.671 -2.033 -0.274 1.56   468
lat.abund    -0.288 0.533  -1.341 -0.205  0.622 2.05   395
long.abund   -0.252 0.364  -1.015 -0.242  0.422 1.03   369
breed.abund  -1.694 0.623  -2.881 -1.714 -0.398 1.01   946
effort.abund  0.238 0.346  -0.510  0.312  0.785 2.44  1329
tori.occu     5.941 8.139  -7.924  6.774 22.275 2.36   246
moon.occu    -2.509 6.422 -13.305 -3.430 10.577 2.43   149
night.occu    1.966 7.471 -12.954  3.239 14.431 1.88    51
lat.occu     -3.289 5.839 -12.329 -4.511  8.905 2.66    95
long.occu     1.669 3.611  -4.500  1.316 10.020 1.12    98
breed.occu   -1.024 5.069 -10.826 -1.289  9.614 1.02   121
effort.occu  -2.824 4.271 -10.469 -3.407  5.233 2.48   144
